countrycode,country,year,rgdpe,emp,hc,rkna
MEX,"Mexico",1992,949889.5625,30.6230125427246,2.22630405426025,2886054
MEX,"Mexico",1993,963568.3125,31.7600288391113,2.24937796592712,2996516.75
MEX,"Mexico",1994,1009288,32.9299468994141,2.27269101142883,3122113.5
MEX,"Mexico",1995,929126.875,32.7074394226074,2.29624581336975,3172853
MEX,"Mexico",1996,975558.3125,34.1148681640625,2.32004451751709,3253597.5
MEX,"Mexico",1997,1046858.4375,36.1453514099121,2.3440899848938,3374502.25
MEX,"Mexico",1998,1094161,37.1698989868164,2.36838483810425,3515364.75
MEX,"Mexico",1999,1153444.25,37.6952743530273,2.39293122291565,3670058.75
MEX,"Mexico",2000,1241567.375,38.6096954345703,2.41773200035095,3849999.5
MEX,"Mexico",2001,1249928.75,38.7171440124512,2.43708729743958,4003551.75
MEX,"Mexico",2002,1265800.625,39.5985412597656,2.45659756660461,4150159
MEX,"Mexico",2003,1307662.75,39.8860855102539,2.47626376152039,4294485.5
MEX,"Mexico",2004,1399936.375,41.2369155883789,2.49608755111694,4461554.5
MEX,"Mexico",2005,1462672.875,41.5376014709473,2.51607012748718,4645159.5
MEX,"Mexico",2006,1581636.875,43.069450378418,2.53621244430542,4852529
MEX,"Mexico",2007,1654108,43.9019813537598,2.55651617050171,5074071.5
MEX,"Mexico",2008,1693705.125,45.0101623535156,2.57141518592834,5305336.5
MEX,"Mexico",2009,1613603.625,44.5970916748047,2.58525681495667,5489143.5
MEX,"Mexico",2010,1734610.375,48.2994537353516,2.59917283058167,5671746
MEX,"Mexico",2011,1857210.25,48.6213798522949,2.61836075782776,5878632
MEX,"Mexico",2012,1908250.125,50.8290863037109,2.63769030570984,6096434
MEX,"Mexico",2013,1923613.125,51.1693000793457,2.6571626663208,6297161.5
MEX,"Mexico",2014,1987687.875,51.4125747680664,2.67677879333496,6498113.5
SGP,"Singapore",1960,4384.14697265625,0.488724023103714,1.4577100276947,33550.0234375
SGP,"Singapore",1961,4686.20703125,0.503049612045288,1.47825813293457,33638.16015625
SGP,"Singapore",1962,5115.8134765625,0.517795145511627,1.49909603595734,33812.8359375
SGP,"Singapore",1963,5781.48486328125,0.532972872257233,1.52022755146027,35136.61328125
SGP,"Singapore",1964,5610.72900390625,0.548595488071442,1.54165697097778,35892.80859375
SGP,"Singapore",1965,6155.1787109375,0.56467604637146,1.56338858604431,37288.39453125
SGP,"Singapore",1966,6956.59619140625,0.581227898597717,1.5813649892807,38860.640625
SGP,"Singapore",1967,7961.78662109375,0.598265051841736,1.59954822063446,40971.7890625
SGP,"Singapore",1968,9155.072265625,0.615801513195038,1.6179404258728,43498.08203125
SGP,"Singapore",1969,10596.4619140625,0.633852005004883,1.63654410839081,48060.8203125
SGP,"Singapore",1970,12059.4052734375,0.652431607246399,1.65536177158356,54951.13671875
SGP,"Singapore",1971,13702.6435546875,0.702262938022614,1.66047644615173,63360.02734375
SGP,"Singapore",1972,15553.5830078125,0.752045810222626,1.66560697555542,72349.53125
SGP,"Singapore",1973,17173.841796875,0.801284611225128,1.67075324058533,81175.15625
SGP,"Singapore",1974,18644.017578125,0.826137602329254,1.67591547966003,90318.359375
SGP,"Singapore",1975,19104.78515625,0.838002324104309,1.68109369277954,98672.6171875
SGP,"Singapore",1976,20494.275390625,0.874501764774323,1.67500722408295,107333.609375
SGP,"Singapore",1977,21736.54296875,0.912191867828369,1.66894268989563,115813.3515625
SGP,"Singapore",1978,24076.0390625,0.971205294132233,1.66290020942688,125846.6796875
SGP,"Singapore",1979,26647.505859375,1.03961098194122,1.65687954425812,137388.03125
SGP,"Singapore",1980,30009.666015625,1.09954583644867,1.65088069438934,151823.65625
SGP,"Singapore",1981,32790.1328125,1.15578460693359,1.71060574054718,168416.234375
SGP,"Singapore",1982,36187.98046875,1.20003545284271,1.75741302967072,189528.34375
SGP,"Singapore",1983,40260.05078125,1.24715840816498,1.80550110340118,212802.21875
SGP,"Singapore",1984,43437.6640625,1.27484261989594,1.85490489006042,238509.53125
SGP,"Singapore",1985,41940.453125,1.27107453346252,1.90566074848175,258677.28125
SGP,"Singapore",1986,41927.14453125,1.28231108188629,1.93310272693634,274031.5
SGP,"Singapore",1987,45575.41015625,1.34764766693115,1.96093988418579,288955.625
SGP,"Singapore",1988,49621.1015625,1.41172635555267,1.989177942276,304884.9375
SGP,"Singapore",1989,54689.36328125,1.4680061340332,2.01782250404358,324576.625
SGP,"Singapore",1990,61804.91796875,1.53560721874237,2.04687976837158,346250.53125
SGP,"Singapore",1991,67287.421875,1.61789274215698,2.1113440990448,370863.5
SGP,"Singapore",1992,71360.4921875,1.65937650203705,2.17783856391907,399151.3125
